title,date,pr_number,link,content
SEC Approves 2026 PCAOB Budget and Accounting Support Fee,"Jan. 22, 2026",2026-11,https://www.sec.gov/newsroom/press-releases/2026-11-sec-approves-2026-pcaob-budget-accounting-support-fee,"The Securities and Exchange Commission today approved the 2026 budget for the Public Company Accounting Oversight Board (PCAOB) and the related accounting support fee. The 2026 PCAOB budget totals $362.1 million. The 2026 budget reflects a 9.4% ($37.6 million) decrease from the prior year and includes a 52% and 42% reduction in the chairperson and other Board members’ compensation, respectively. The accounting support fee (ASF) totals $306.0 million, an 18.4% ($68.9 million) decrease from the prior year, of which $280.3 million will be assessed on public company issuers and $25.7 million will be assessed on brokers and dealers. “Both during my time as a Commissioner and now as Chairman, I have recognized–and continue to recognize–the importance of driving improvements in audit quality. Nevertheless, all regulators, including the Commission and the PCAOB, must continually assess how and whether current approaches to fulfilling the Board’s responsibilities provide benefits to investors without imposing excessive burdens on businesses. For the Commission, its diligent oversight of the PCAOB is a crucial check on the considerable authority that the Board holds over audit firms and the risks of potentially excessive burdens,” said SEC Chairman Paul S. Atkins in a  statement . “A significant aspect of this oversight is the Board’s budget. The PCAOB must exhibit a strong commitment to responsible stewardship of the accounting support fee, which is its primary source of funding and functions as a tax on public companies and broker-dealers. This includes being mindful of and transparent about material investments so that the Commission can appropriately exercise our budget oversight responsibilities. The decrease in this year’s budget does not detract from the significance of the PCAOB’s mission, which remains crucial; rather, it underscores that fiscal discipline and regulatory effectiveness complement each other.” “This year’s budget decrease represents progress. However, the ongoing initiatives by the Commission and PCAOB to re-assess the PCAOB’s strategic plan, operations, and budget remain key priorities for the future,” said SEC Chief Accountant Kurt Hohl. “The SEC remains committed to robust oversight of the PCAOB and ensuring that its operations are transparent, justified, and worthy of the trust placed in it by investors and the public.” The Sarbanes-Oxley Act of 2002, which established the PCAOB, provides the Commission with oversight responsibility over the PCAOB. This includes reviewing and approving the PCAOB’s budget and accounting support fee annually."
SEC Small Business Advisory Committee to Continue Discussion on Regulatory Framework for Finders and Begin Exploring the Private Secondary Market,"Jan. 22, 2026",2026-12,https://www.sec.gov/newsroom/press-releases/2026-12-sec-small-business-advisory-committee-continue-discussion-regulatory-framework-finders-begin,"The Securities and Exchange Commission’s  Small Business Capital Formation Advisory Committee  announced that it will hold a public meeting at the SEC Headquarters in Washington, D.C., on Tuesday, Feb. 24, 2026, at 10 a.m. ET. The meeting will also be webcast on the  SEC website . The meeting will continue the committee’s discussion on potential regulatory improvements regarding “finders” who assist companies with raising capital in private markets from accredited investors. To learn more about how the current regulatory framework affects “finders,” the committee will hear from Steven Jafarzadeh, chief compliance officer and partner at Stonehaven. During the afternoon session of the meeting, the committee will hear from  SEC Office of the Advocate for Small Business Capital Formation  staff, who will provide an overview of the office’s  2025 Staff Report,  which includes in-depth data on the state of capital raising activity from startup to small cap. The session will also explore the private secondary market and how it has grown to fill liquidity needs and meet investor demand for private securities and its impact on the venture landscape. Continuation funds, special purpose vehicles, and private tender offers have become more prevalent as ways to rebalance portfolios and provide liquidity to investors and employees. To better understand the private secondary market and related deal flow drivers, trends, opportunities, and challenges that stem from private secondary transactions, the committee will hear from Emily Zheng, senior research analyst at Pitchbook; Nigel Dawn, managing director at Evercore; and William Duval, special counsel at Cooley LLP. For more information about the committee and the full  agenda  for the meeting, visit the  committee webpage . The Small Business Capital Formation Advisory Committee provides advice and recommendations to the SEC on rules, regulations, and policy matters relating to small businesses."
"SEC and CFTC to Hold Joint Event on Harmonization, U.S. Financial Leadership in the Crypto Era","Jan. 22, 2026",2026-13,https://www.sec.gov/newsroom/press-releases/2026-13,"Securities and Exchange Commission Chairman Paul S. Atkins and Commodity Futures Trading Commission Chairman Michael S. Selig will hold a joint event on Tuesday, Jan. 27, from 10 a.m. to 11 a.m. at CFTC headquarters to discuss harmonization between the two agencies and their efforts to deliver on President Trump’s promise to make the United States the crypto capital of the world. “For too long, market participants have been forced to navigate regulatory boundaries that are unclear in application and misaligned in design, based solely on legacy jurisdictional silos,” said SEC Chairman Paul S. Atkins and CFTC Chairman Michael S. Selig. “This event will build on our broader harmonization efforts to ensure that innovation takes root on American soil, under American law, and in service of American investors, consumers, and economic leadership.” Title:  SEC – CFTC Harmonization: U.S. Financial Leadership in the Crypto Era Date:  Tuesday, January 27, 2026 Time:  10:00am – 11:00am ET Host:  CFTC Headquarters at Three Lafayette Centre, 1155 21st Street NW, Washington, DC 20036 Agenda: 10:00 – 10:05 AM: Introduction from Chairman Paul Atkins 10:05 – 10:20 AM: Opening Remarks from Chairman Mike Selig 10:20 – 10:50 AM: Fireside Chat with Chairmen Atkins, Selig Moderator: Eleanor Terrett, Co-Founder and Host, Crypto in America The event, held at CFTC headquarters, will be open to the public and webcast live on the SEC’s website. Doors will open at 9:30 a.m. For online attendance, registration is not necessary. For in-person attendance, please  register  in advance."
"SEC and CFTC Reschedule Joint Event on Harmonization, U.S. Financial Leadership in the Crypto Era","Jan. 26, 2026",2026-14,https://www.sec.gov/newsroom/press-releases/2026-14-sec-cftc-reschedule-joint-event-harmonization-us-financial-leadership-crypto-era,"Securities and Exchange Commission Chairman Paul S. Atkins and Commodity Futures Trading Commission Chairman Michael S. Selig will hold a joint event, previously scheduled for Jan. 27, now rescheduled for Thursday, Jan. 29, from 2 p.m. to 3 p.m. at CFTC headquarters to discuss harmonization between the two agencies and their efforts to deliver on President Trump’s promise to make the United States the crypto capital of the world. “For too long, market participants have been forced to navigate regulatory boundaries that are unclear in application and misaligned in design, based solely on legacy jurisdictional silos,” said SEC Chairman Paul S. Atkins and CFTC Chairman Michael S. Selig. “This event will build on our broader harmonization efforts to ensure that innovation takes root on American soil, under American law, and in service of American investors, consumers, and economic leadership.” Title: SEC – CFTC Harmonization: U.S. Financial Leadership in the Crypto Era Date: Thursday, January 29, 2026 Time: 2:00 pm – 3:00 pm ET Host: CFTC Headquarters at Three Lafayette Centre, 1155 21st Street NW, Washington, DC 20036 Agenda: 2:00 – 2:05 PM: Introduction from Chairman Paul Atkins 2:05 – 2:20 PM: Opening Remarks from Chairman Mike Selig 2:20 – 2:50 PM: Fireside Chat with Chairmen Atkins, Selig Moderator: Eleanor Terrett, Co-Founder and Host, Crypto in America The event, held at CFTC headquarters, will be open to the public and webcast live on the SEC’s website. Doors will open at 1:30 p.m. For online attendance, registration is not necessary. For in-person attendance, please  register  in advance."
SEC Charges ADM and Three Former Executives with Accounting and Disclosure Fraud,"Jan. 27, 2026",2026-15,https://www.sec.gov/newsroom/press-releases/2026-15-sec-charges-adm-three-former-executives-accounting-disclosure-fraud,"The Securities and Exchange Commission today filed settled charges against Archer-Daniels-Midland Company (ADM) and its former executives, Vince Macciocchi and Ray Young, and a litigated action against its former executive Vikram Luthar, for materially inflating the performance of a key ADM business segment, Nutrition, which ADM touted to investors as an important driver of the company’s overall growth. The SEC’s complaint against Luthar alleges that he directed “adjustments” to Nutrition’s transactions with other ADM business segments when Nutrition was falling short of its operating profit targets for fiscal years 2021 and 2022. According to the complaint, the adjustments included retroactive rebates and price changes not customarily available to ADM’s third-party customers that were essentially one-sided transfers of operating profit to Nutrition, with the goal of making it appear that Nutrition was meeting the 15% to 20% per year operating profit growth Luthar and other ADM executives projected to investors. The SEC’s settled order against ADM, Macciocchi, and Young finds that Macciocchi and Luthar led efforts to identify and structure adjustments for fiscal years 2021 and 2022, and that Young negligently approved improper adjustments for fiscal years 2019 and 2021. These adjustments also included retroactive rebates and price changes, were targeted to specific dollar amounts to hit Nutrition’s operating profit goals or mask a shortfall, and were not provided to third parties, according to the order. The SEC considered ADM’s cooperation and significant remedial measures in accepting its settlement offer. Specifically, the company conducted an internal investigation, voluntarily reported its findings to the staff, and provided the staff with additional analyses from an outside accounting expert.  ADM’s remedial measures included implementing new internal accounting controls around intersegment transactions, amending its policies and procedures, and testing the effectiveness of its new controls, among other things. The order creates a Fair Fund to distribute the ordered monetary relief to investors harmed by the violations. “Transparent and honest disclosure are key to maintaining market integrity, so when ADM misled its investors, the SEC stepped in to protect them and the market,” said Judge Margaret A. Ryan, Director of the SEC’s Division of Enforcement. “The SEC is steadfast in its commitment to rooting out fraud and holding accountable wrongdoers, while also engaging market participants constructively to ensure the right outcomes are achieved in a timely and fair manner. In this matter, we credit ADM’s cooperation and its efforts to avoid future accounting and disclosure violations.” The complaint alleges, and the order finds, that the adjustments rendered ADM’s annual and quarterly reports false and misleading because the adjustments resulted in transactions inconsistent with ADM’s representation that intersegment transactions were recorded at amounts “approximating market.” Further, the order finds that ADM overstated Nutrition’s operating profit for fiscal years 2019, 2021, and 2022, the third quarter of 2019, and all quarters in 2021 as a result of the adjustments. The complaint, filed in the U.S. District Court for the Northern District of Illinois, charges Luthar with violating the antifraud provisions of the federal securities laws, aiding and abetting ADM’s violations of the antifraud, reporting, books and records, and internal accounting control provisions of the federal securities laws, and failing to reimburse ADM for certain executive compensation as required. The complaint seeks permanent injunctions, an officer and director bar, disgorgement of ill-gotten gains with prejudgment interest, civil penalties, and reimbursement of certain executive compensation to ADM pursuant to the Sarbanes-Oxley Act. The SEC’s order finds that ADM, Macciocchi, and Young violated the antifraud, reporting, internal accounting controls, and books and records provisions of the federal securities laws, and that Macciocchi and Young caused certain of ADM’s violations. Without admitting or denying the findings, ADM, Macciocchi, and Young agreed to cease and desist from committing or causing any violations and any future violations of the relevant provisions of the federal securities laws, and ADM has voluntarily undertaken to cooperate fully with the Commission in the litigation and any other proceedings related to the matters described in the order. ADM agreed to pay a $40,000,000 civil penalty, Macciocchi agreed to pay disgorgement and prejudgment interest totaling $404,343 and a civil penalty of $125,000, and Young agreed to pay disgorgement and prejudgment interest totaling $575,610 and a civil penalty of $75,000. Macciocchi also agreed to a three-year officer and director bar."
SEC Appoints New Chairman and Board Members to PCAOB,"Jan. 30, 2026",2026-16,https://www.sec.gov/newsroom/press-releases/2026-16-sec-appoints-new-chairman-board-members-pcaob,"The Securities and Exchange Commission today announced the appointment of Demetrios (Jim) Logothetis, as Chairman, and Mark Calabria, Kyle Hauptman, and Steven Laughton, as Board members, of the Public Company Accounting Oversight Board (PCAOB). George Botic will continue his service as a Board member and will remain as Acting Chairman until Mr. Logothetis is sworn in. The Sarbanes-Oxley Act of 2002 established the PCAOB to oversee the audits of public companies and broker-dealers in order to protect the interests of investors and further the public interest in the preparation of informative, accurate, and independent audit reports. The PCAOB accomplishes these goals through registering public accounting firms, setting auditing standards, conducting inspections, and pursuing disciplinary actions. The PCAOB is subject to oversight by the SEC. “I am confident that this new Board will usher in a new day at the PCAOB—one of sensible, efficient oversight of auditors,” said SEC Chairman Paul S. Atkins in a  statement . “The newly appointed Chairman and Board members have already demonstrated a profound commitment to protecting investors and responsible use of such funds by accepting compensation much more in line with the ethos of public service. I look forward to working with this Board as it refocuses on the PCAOB’s core statutory mission—protecting investors and furthering the public interest in the preparation of informative, accurate, and independent audit reports.” SEC Chief Accountant Kurt Hohl said, “We look forward to working with the new Board in connection with furthering the PCAOB’s central mission of promoting investor protection.” Chairman Atkins added, “I would like to thank George Botic for his leadership in serving as Acting Chairman for the last six months. I also would like to thank Christina Ho, Kara Stein and Anthony Thompson for their dedicated service as members of the Board.” New PCAOB Members Demetrios (Jim) Logothetis, Chairman,  will serve a term ending on October 24, 2030. Mr. Logothetis serves on the board of The Republic Bank of Chicago, where he chairs the audit committee, and on the advisory council of CrossCountry Consulting, a privately owned consultancy firm. In 2019, Jim retired from Ernst and Young (EY) after forty years with the firm, during which time he served as the lead partner for several of EY’s largest clients. He held a number of leadership roles with the firm, including Vice-Chair of Global Accounts, Managing Partner of the Midwest U.S assurance and advisory practices, and Chairman of the German Business Center in the United States. He also served as Senior Advisor in U.S. Department of Housing and Urban Development’s Office of the Assistant Secretary and Chief Financial Officer, where he led the Audit Coordination Committee for Ginnie Mae. He holds an M.B.A. degree in Accounting, Finance, and International Business from The University of Chicago Booth Graduate School of Business and a B.S. degree in Accountancy from De Paul University. Mark Calabria  will serve a term ending on Oct. 24, 2027. Mr. Calabria is currently an Associate Director and Chief Statistician with the U.S. Office of Management and Budget and a Senior Advisor to the Office of the Director of the Consumer Financial Protection Bureau. His prior service includes Director of the Federal Housing Finance Agency, Assistant to the Vice President, Deputy Assistant Secretary with the U.S. Department of Housing and Urban Development, and Senior Economist at the National Association of Realtors. He has a B.A and Ph.D. in Economics from George Mason University. Kyle Hauptman  will serve a term ending on Oct. 24, 2029. Mr. Hauptman   is currently the Chairman of the National Credit Union Administration (NCUA). He was originally appointed by President Trump and confirmed by the Senate to serve as a Board Member in December 2020. He was elevated to Chairman of the NCUA in January 2025. He previously served on the Senate Banking Committee staff, as a staff director and as Economic Policy Counselor to a senator. He has also held positions at the American Enterprise Institute, Jefferies and Co., and Lehman Brothers. He holds an M.B.A. degree from Columbia Business School and a B.A. from University of California, Los Angeles. Steven Laughton  will serve a term ending on Oct. 24, 2026. Mr. Laughton is currently Board Counsel to PCAOB Board Member Christina Ho. Prior to joining the PCAOB in 2022, he spent more than thirty years with the U.S. Department of the Treasury. His roles at the Treasury Department included Senior Counsel to the General Counsel, where he helped establish the Paycheck Protection Program, and Assistant General Counsel, where he supervised more than 50 attorneys and staff and advised on a wide range of matters, including cybersecurity, consumer financial policy, disclosure, privacy, and advisory committees. He holds a B.A. in Political Science and French from Tufts University and a J.D. from Case Western Reserve University School of Law."
"SEC Publishes Data on Exchange Traded Funds and Fund Mergers; Updated Statistics on Municipal Advisors, Transfer Agents, and Security-Based Swap Dealers","Feb. 5, 2026",2026-17,https://www.sec.gov/newsroom/press-releases/2026-17-sec-publishes-data-exchange-traded-funds-fund-mergers-updated-statistics-municipal-advisors-transfer,"The Securities and Exchange Commission’s Division of Economic and Risk Analysis (DERA) has published two new reports on exchange traded funds and fund mergers, and updated statistics and data visualizations on municipal advisors, transfer agents, and security-based swap dealers (SBSDs).  The reports provide the public with information about the growth in active ETFs and the changes in fees paid by investors when mutual funds and ETFs acquire other funds.      “With more than 3600 ETFs holding assets exceeding $10 trillion, understanding this market is critical, not just because of its size, but because of its evolving dynamics” said Dr. Joshua T. White, Chief Economist and Director of the SEC’s Division of Economic and Risk Analysis. “Active ETFs, while still a smaller segment of the market, are growing rapidly and now rival passive funds in number, reflecting a shift toward more actively managed strategies. At the same time, our research shows that fund mergers can deliver meaningful fee reductions for investors. These trends highlight the importance of ongoing analysis to ensure transparency and resilience in this fast-changing landscape.” The two reports issued today are: The  Fast-Growing Market of Active ETFs  examines the general characteristics of active ETFs. Despite representing a relatively small portion of the total ETF managed assets, the number and assets of active ETFs have experienced significant, steady growth in recent years, outpacing the growth rate of passive ETFs. Although high asset growth rates are typical for a relatively new market segment, the rapid expansion of the number of active ETFs, which is now close to the number of passive funds, is noteworthy. Active ETFs generally appear to have higher levels of active portfolio management as indicated by their lower level of return alignment with the underlying benchmark return, higher portfolio turnover rates, and greater use of derivatives. When Funds Merge: What Happens to Fees? Evidence from Acquiring Mutual Funds and ETFs  explores how mergers of mutual funds and ETFs are associated with changes to the fees paid by investors in funds that acquired another fund through a merger (acquiring funds), specifically expense ratios, management fees, and Rule 12b-1 fees. The analysis uses data from 2010 to 2023 and focuses on over 1,800 U.S. mutual fund mergers that occurred between 2011 and 2023, allowing for at least one year of pre-merger observations. The results suggest that mergers are generally associated with lower fees for investors in acquiring funds, and the size and type of those savings vary by fund type and the structure of the merger. SEC staff also updated the SEC’s public  statistics and data visualizations webpage  to include updated statistics and visualizations on municipal advisors, transfer agents, and security-based swap dealers (SBSDs). The webpage provides statistics presented in time series charts to show market trends, pie charts to show distribution across different categories, as well as heat maps to show geographic distributions. The visuals are interactive and downloadable, thus allowing the public to explore the information they are interested in. DERA integrates financial economics and rigorous data analytics into the SEC’s core mission. It conducts detailed, high-quality economic and statistical analyses to advise on Commission matters and helps identify and respond to issues, trends, and innovations in the marketplace."
SEC Announces 45th Annual Small Business Forum to Improve Capital-Raising Policy,"Feb. 13, 2026",2026-18,https://www.sec.gov/newsroom/press-releases/2026-18-sec-announces-45th-annual-small-business-forum-improve-capital-raising-policy,"The Securities and Exchange Commission will host the agency’s 45th Annual Government Business Forum on Small Business Capital Formation at SEC headquarters in Washington, D.C., on March 9 from 1 p.m. to 5 p.m. ET. The event will be webcast live. Registration information and an agenda are available on the  event page . The forum brings together members of the public and private sectors to discuss and provide suggestions to improve policy affecting how entrepreneurs, small businesses, and smaller public companies raise capital from investors. ""The annual Small Business Forum is a unique opportunity for innovators, investors, advisors, and policymakers to come together and help identify challenges in capital raising,” said SEC Chairman Paul S. Atkins. “I encourage members of the public to join us to share ideas and have their voices heard on ways to improve capital formation."" The event will feature appearances by SEC Commissioners and discussions with thought leaders from across the small business ecosystem on capital raising by early- to late-stage private companies and smaller public companies. Both in-person and online participants will have the opportunity to submit policy recommendations in advance by emailing  smallbusiness@sec.gov  by noon ET on March 5. Online voting to prioritize recommendations to be included in the report for the Commission and Congress will open to the public at the end of the event."
SEC Proposes Amendments to Reduce Burdens in Reporting of Fund Portfolio Holdings,"Feb. 18, 2026",2026-19,https://www.sec.gov/newsroom/press-releases/2026-19-sec-proposes-amendments-reduce-burdens-reporting-fund-portfolio-holdings,"The Securities and Exchange Commission today proposed amendments to the form used by most registered investment companies to report portfolio-related information. The changes are designed to reduce reporting burdens without significantly affecting the SEC’s use of the data or the public’s ability to assess relevant information about a fund. The proposed amendments to Form N-PORT follow a review (in accordance with a Presidential Memorandum) of the amendments the Commission made to the form in 2024. The proposal considers developments that have occurred after the Commission’s adoption of those amendments. “Reducing unnecessary reporting burdens and increasing efficiency in disclosure requirements is a top priority of the Commission,” said SEC Chairman Paul S. Atkins. “This proposal provides registrants additional time to file the form, refines reporting items, and reduces the frequency of public reporting of fund portfolio holdings – all the while retaining insight into funds’ portfolio-related issues.” The proposed amendments to Form N-PORT would: Provide reporting funds with an additional 15 days to file monthly reports of portfolio-related information on Form N-PORT, which is designed to reduce the potential for errors and resubmissions Reduce the publication of reports from monthly to quarterly, a change designed to protect a fund’s shareholders by reducing the risks of more frequent public disclosure, such as external parties using information about a fund’s portfolio holdings in ways that increase costs for the fund and its shareholders Modify Form N-PORT reports to streamline or remove certain reported information, including removing “Names Rule” reporting, and add information about funds with share classes that operate as exchange-traded funds In connection with the proposed amendments, but by separate action, the Commission is extending the compliance dates for those Form N-PORT reporting requirements related to the “Names Rule” under the Investment Company Act of 1940, which addresses certain investment company names. This extension will provide additional time for funds and the Commission to consider the proposed amendments to Form N-PORT and avoid certain costs associated with regulatory requirements that the Commission is proposing to eliminate. The new compliance dates are Nov. 17, 2027, for fund groups with net assets of $10 billion or more and May 18, 2028, for fund groups with less than $10 billion in net assets as of the end of their most recent fiscal year. The proposing release for Form N-PORT amendments will be published in the Federal Register, and the public comment period will remain open until 60 days after the Federal Register publication date."
SEC’s Division of Enforcement Announces Updates to Enforcement Manual,"Feb. 24, 2026",2026-20,https://www.sec.gov/newsroom/press-releases/2026-20-secs-division-enforcement-announces-updates-enforcement-manual,"The Securities and Exchange Commission’s Division of Enforcement today announced significant updates to its  Enforcement Manual .  These updates underscore the Commission’s ongoing commitment to fairness, transparency, and efficiency in the investigations conducted by the Division. They include changes to investigative procedures that are intended to enhance consistency and uniformity in the Division’s practices and to create greater efficiencies in support of the Commission’s mission to protect investors, maintain fair, orderly, and efficient markets, and facilitate capital formation. The Enforcement Manual, which was last revised in 2017, will undergo yearly reviews going forward. “This is an important and long-overdue step that builds on the Division of Enforcement’s commitment to transparency, fairness, and process while ensuring it remains able to fulfill its mission,” said SEC Chairman Paul S. Atkins. “I applaud Judge Ryan’s and the staff’s work on revisions to the manual and their commitment to a continued review of the manual going forward to ensure its procedures remain current, effective, and relevant.” “The SEC’s modified Enforcement Manual seeks to clarify, and enhance the public’s understanding of, how we enforce the federal securities laws,” said Margaret A. Ryan, Director of the SEC’s Division of Enforcement. “Our updates to the Enforcement Manual ensure greater uniformity, reflect the Division’s best practices, and improve our staff’s ability to carry out the mission-critical work they do on behalf of investors.” Updates to the Enforcement Manual include changes in the following areas: Ensuring a uniform Wells process:  The updated Enforcement Manual emphasizes the importance of open, informed, and thoughtful dialogue between SEC staff and potential respondents and defendants, with the goal of producing better outcomes and ensuring the fair and timely resolution of investigations and recommendations of possible enforcement actions. - To encourage this dialogue and facilitate greater consistency in the Wells process, the Enforcement Manual updates provide that recipients of a Wells notice will ordinarily receive four weeks to make Wells submissions. The update also gives guidance on what makes a Wells submission most helpful to the staff and the Commission. The updated Enforcement Manual provides that Wells meetings will be scheduled within four weeks of receipt of a Wells submission and will include a member of senior leadership within the Division. - The processes and timelines set out in the updated Enforcement Manual are intended to ensure that the Division acts promptly to achieve the Commission’s three-part mission while also allowing parties affected by an enforcement investigation to learn more quickly whether the staff will recommend closure of an investigation or an enforcement action, as well as help ensure efficient use of Commission resources.   Facilitating simultaneous consideration of settlement recommendations and waiver requests:  The updated Enforcement Manual reflects that the Commission recently restored its prior practice of permitting a settling party to request that the Commission simultaneously consider an offer of settlement and any related request for a Commission waiver from automatic disqualifications and other collateral consequences that result from the underlying enforcement action. By providing potential parties to an SEC action with greater visibility into the collateral effects of a settlement, these updates conserve Commission resources, enhance the transparency of its processes, and protect investors by driving significant efficiencies in the resolution of investigations.   Additional Updates to the Enforcement Manual:  The updated Enforcement Manual details the Division’s framework for evaluating cooperation, including the impact of cooperation on civil penalties. It also includes: changes intended to encourage more consistent internal collaboration, updates regarding the formal order process, an updated framework for referrals to criminal authorities, and other changes intended to conform the Enforcement Manual to current best practices within the Division."
